extId,setSize,half,wmc
EH2880,6,2,0.916666667
EI2360,3,1,1
EI2360,3,2,1
EI2360,6,1,0.958333333
EI2360,6,2,1
EK0357,3,1,0.833333333
EK0357,3,2,1
EK0357,6,1,0.666666667
EK0357,6,2,0.875
EL0448,3,1,0.916666667
EL0448,3,2,1
EL0448,6,1,0.916666667
EL0448,6,2,1
EL0556,3,1,1
EL0556,3,2,1
EL0556,6,1,0.708333333
EL0556,6,2,0.916666667
EL0562,3,1,1
EL0562,3,2,1
EL0562,6,1,0.833333333
EL0562,6,2,0.666666667
EL0968,3,1,1
EL0968,3,2,1
EL0968,6,1,0.708333333
EL0968,6,2,0.625
EL0989,3,1,0.916666667
EL0989,3,2,0.916666667
EL0989,6,1,0.958333333
EL0989,6,2,0.875
EL1073,3,1,1
EL1073,3,2,1
EL1073,6,1,0.875
EL1073,6,2,1
EL2128,3,1,1
EL2128,3,2,1
EL2128,6,1,1
EL2128,6,2,1
EL28877,3,1,1
EL28877,3,2,0.75
EL28877,6,1,0.916666667
EL28877,6,2,0.916666667
EM0118,3,1,1
EM0118,3,2,1
EM0118,6,1,1
EM0118,6,2,0.875
EM1190,3,1,1
EM1190,3,2,1
EM1190,6,1,0.875
EM1190,6,2,0.75
EN2058,3,1,0.333333333
EN2058,3,2,0.333333333
EN2058,6,1,0.25
EN2058,6,2,0.291666667
EO0891,3,1,1
EO0891,3,2,1
EO0891,6,1,0.958333333
EO0891,6,2,0.875
ER0194,3,1,0.916666667
ER0194,3,2,1
ER0194,6,1,0.875
ER0194,6,2,0.75
ER1830,3,1,1
ER1830,3,2,0.916666667
ER1830,6,1,1
ER1830,6,2,0.75
ER2636,3,1,1
ER2636,3,2,1
ER2636,6,1,0.791666667
ER2636,6,2,0.875
ER3038,3,1,1
ER3038,3,2,1
ER3038,6,1,1
ER3038,6,2,1
ES0908,3,1,1
ES0908,3,2,1
ES0908,6,1,1
ES0908,6,2,1
ES1009,3,1,1
ES1009,3,2,1
ES1009,6,1,1
ES1009,6,2,0.958333333
ES1102,3,1,1
ES1102,3,2,1
ES1102,6,1,0.958333333
ES1102,6,2,1
ES1586,3,1,0.833333333
ES1586,3,2,0.833333333
ES1586,6,1,0.875
ES1586,6,2,0.791666667
ET0193,3,1,1
ET0193,3,2,1
ET0193,6,1,1
ET0193,6,2,1
ET0355,3,1,0.583333333
ET0355,3,2,1
ET0355,6,1,0.833333333
ET0355,6,2,0.625
EW1371,3,1,1
EW1371,3,2,1
EW1371,6,1,0.666666667
EW1371,6,2,1
EW1418,3,1,0.833333333
EW1418,3,2,0.916666667
EW1418,6,1,1
EW1418,6,2,0.875
EW2240,3,1,0.916666667
EW2240,3,2,1
EW2240,6,1,0.708333333
EW2240,6,2,0.75
EY1994,3,1,1
EY1994,3,2,1
EY1994,6,1,0.708333333
EY1994,6,2,0.833333333
FA11711,3,1,0.916666667
FA11711,3,2,1
FA11711,6,1,0.666666667
FA11711,6,2,0.833333333
FA3189,3,1,0.916666667
FA3189,3,2,0.833333333
FA3189,6,1,0.625
FA3189,6,2,0.666666667
HA0458,3,1,0.5
HA0458,3,2,0.416666667
HA0458,6,1,0.333333333
HA0458,6,2,0.166666667
HA0538,3,1,1
HA0538,3,2,1
HA0538,6,1,0.5
HA0538,6,2,0.583333333
HA1083,3,1,1
HA1083,3,2,1
HA1083,6,1,1
HA1083,6,2,0.916666667
HA2096,3,1,1
HA2096,3,2,1
HA2096,6,1,0.541666667
HA2096,6,2,1
HA2167,3,1,0.416666667
HA2167,3,2,1
HA2167,6,1,0.166666667
HA2167,6,2,0.375
HI1771,3,1,1
HI1771,3,2,1
HI1771,6,1,0.958333333
HI1771,6,2,1
HI1974,3,1,0.416666667
HI1974,3,2,0.333333333
HI1974,6,1,0.125
HI1974,6,2,0.208333333
HI2240,3,1,0.916666667
HI2240,3,2,1
HI2240,6,1,0.875
HI2240,6,2,0.916666667
HI2999,3,1,1
HI2999,3,2,1
HI2999,6,1,1
HI2999,6,2,1
HY1498,3,1,0.916666667
HY1498,3,2,1
HY1498,6,1,0.708333333
HY1498,6,2,0.75
IA0615,3,1,1
IA0615,3,2,1
IA0615,6,1,0.916666667
IA0615,6,2,1
IA0618,3,1,1
IA0618,3,2,1
IA0618,6,1,0.958333333
IA0618,6,2,0.541666667
IA0715,3,1,0.916666667
IA0715,3,2,1
IA0715,6,1,0.916666667
IA0715,6,2,0.666666667
IA1139,3,1,1
IA1139,3,2,1
IA1139,6,1,0.791666667
IA1139,6,2,0.958333333
IA1160,3,1,0.916666667
IA1160,3,2,1
IA1160,6,1,0.583333333
IA1160,6,2,0.625
IA1308,3,1,1
IA1308,3,2,1
IA1308,6,1,0.958333333
IA1308,6,2,0.833333333
IA2245,3,1,1
IA2245,3,2,1
IA2245,6,1,0.75
IA2245,6,2,1
IA2689,3,1,1
IA2689,3,2,1
IA2689,6,1,0.958333333
IA2689,6,2,1
IA2916,3,1,1
IA2916,3,2,1
IA2916,6,1,0.916666667
IA2916,6,2,0.666666667
IE0242,3,1,0.25
IE0242,3,2,0.583333333
IE0242,6,1,0.125
IE0242,6,2,0.25
IE0313,3,1,0.916666667
IE0313,3,2,1
IE0313,6,1,0.916666667
IE0313,6,2,1
IE0817,3,1,0.583333333
IE0817,3,2,1
IE0817,6,1,0.916666667
IE0817,6,2,0.791666667
IE0902,3,1,1
IE0902,3,2,1
IE0902,6,1,0.875
IE0902,6,2,0.833333333
IE1002,3,1,1
IE1002,3,2,0.916666667
IE1002,6,1,1
IE1002,6,2,0.916666667
IE1066,3,1,1
IE1066,3,2,1
IE1066,6,1,0.833333333
IE1066,6,2,0.833333333
IE1199,3,1,0.25
IE1199,3,2,0.833333333
IE1199,6,1,0.333333333
IE1199,6,2,0.375
IE1220,3,1,0.833333333
IE1220,3,2,0.75
IE1220,6,1,0.833333333
IE1220,6,2,0.916666667
IE1425,3,1,0.333333333
IE1425,3,2,0.416666667
IE1425,6,1,0.166666667
IE1425,6,2,0.25
IE1555,3,1,0.916666667
IE1555,3,2,1
IE1555,6,1,0.583333333
IE1555,6,2,0.541666667
IE1589,3,1,1
IE1589,3,2,1
IE1589,6,1,0.958333333
IE1589,6,2,0.75
IE2304,3,1,1
IE2304,3,2,1
IE2304,6,1,0.75
IE2304,6,2,0.833333333
IE2827,3,1,0.916666667
IE2827,3,2,1
IE2827,6,1,1
IE2827,6,2,1
IE2895,3,1,1
IE2895,3,2,0.916666667
IE2895,6,1,0.666666667
IE2895,6,2,0.75
IE3106,3,1,1
IE3106,3,2,1
IE3106,6,1,0.833333333
IE3106,6,2,1
IF1417,3,1,0.916666667
IF1417,3,2,1
IF1417,6,1,0.916666667
IF1417,6,2,0.875
IL0314,3,1,1
IL0314,3,2,1
IL0314,6,1,0.75
IL0314,6,2,0.791666667
IL2555,3,1,1
IL2555,3,2,1
IL2555,6,1,0.75
IL2555,6,2,0.625
IM0389,3,1,0.75
IM0389,3,2,0.833333333
IM0389,6,1,0.625
IM0389,6,2,0.625
IM1173,3,1,1
IM1173,3,2,1
IM1173,6,1,1
IM1173,6,2,0.958333333
IN2473,3,1,1
IN2473,3,2,1
IN2473,6,1,0.791666667
IN2473,6,2,0.791666667
IN2705,3,1,0.833333333
IN2705,3,2,1
IN2705,6,1,0.75
IN2705,6,2,0.75
IN2774,3,1,1
IN2774,3,2,1
IN2774,6,1,1
IN2774,6,2,1
IR1090,3,1,1
IR1090,3,2,1
IR1090,6,1,0.833333333
IR1090,6,2,0.75
IS0276,3,1,0.666666667
