"extId","processing"
"SA0914",0.972222222222222
"SA2280",1
"SA2885",1
"SH1024",1
"SH1504",1
"SH2796",0.986111111111111
"SI0547",0.986111111111111
"SZ0779",0.972222222222222
"TA0364",0.902777777777778
"TA0451",0.930555555555556
"TA0820",1
"TA2304",0.986111111111111
"TA2553",0.763888888888889
"TH0246",0.958333333333333
"TH0335",0.972222222222222
"TH0871",1
"TH1090",1
"TH2817",0.986111111111111
"TY2295",0.708333333333333
"TY3111",0.986111111111111
"UA1744",0.930555555555556
"UB1675",0.972222222222222
"UH1865",0.958333333333333
"UL2052",0.972222222222222
"UN1577",1
"UN2428",0.930555555555556
"UR1876",0.972222222222222
"UR2297",0.972222222222222
"US0117",0.986111111111111
"UT3036",0.888888888888889
"YA1185",0.916666666666667
"YA1310",1
"YA1703",0.986111111111111
"YA1806",1
"YA2120",0.972222222222222
"YA2340",0.930555555555556
"YA2363",0.972222222222222
"YI0692",0.986111111111111
"YI2480",0.986111111111111
"YI2602",1
"YN1017",0.986111111111111
"YN2494",0.944444444444444
"YS1669",0.986111111111111
"YU0785",0.986111111111111
"ZE0580",1
"ZE1494",0.986111111111111
