"extId","MDT.ability","MDT.ability_sem","MDT.num_items"
"AG1208",-1.00126259,0.486708351,20
"AM2586",-0.299555736,0.512956886,20
"EL0968",-0.015044581,0.487381826,20
"AN2176",-0.481639574,0.493112985,20
"IZ2252",0.642484594,0.481361468,20
"ZE0580",-0.325304042,0.51219981,20
"FA3189",-0.701374575,0.490020807,20
"YA1185",-0.982050375,0.558776653,20
"HA1083",-0.438812085,0.558965143,20
"AN2840",-0.127268693,0.485359691,20
"ET0193",-0.505094646,0.518988812,20
"SA0914",0.814000136,0.522880515,20
"SZ0779",-0.396940249,0.515053675,20
"RI0316",0.346092542,0.481691959,20
"UH1865",-0.042646724,0.477729041,20
"RA2435",-0.989644014,0.490619674,20
"AR1989",-0.724987588,0.477233703,20
"IF1417",-0.188982187,0.490554082,20
"AY0849",0.454531387,0.482420827,20
"YA2363",1.945838609,0.537132609,20
"ET0355",-0.096967053,0.480368296,20
"UR2297",0.202295013,0.496800053,20
"EM0118",-0.625165215,0.591687614,20
"IA1139",-1.24393294,0.64876987,20
"EL12050431",-2.487273566,1.183091325,20
"IE0242",1.363765032,0.503371559,20
"TA0451",0.234041103,0.489283977,20
"EE0753",0.462170991,0.494183828,20
"EO0891",0.68165525,0.4793423,20
"YI2480",0.834831817,0.488816534,20
"IE0565",-1.935773972,0.726101806,20
"CA2680",-1.331698649,0.637831041,20
"IS0276",0.266521486,0.480048543,20
"LY2811",-0.567505499,0.49072824,20
"OT0758",-0.664612372,0.522159634,20
"UB1675",0.216043019,0.491101823,20
"SH1504",-0.830091036,0.519331471,20
"YA1703",0.475659212,0.48163397,20
"AR0464",-2.625651143,1.138445743,20
"IE1199",0.134409193,0.480861469,20
"DA0594",-0.166334033,0.479371626,20
"ME2455",-0.29112159,0.515349524,20
"EL0562",-0.74147061,0.579859344,20
"YU0785",1.545171811,0.530158124,20
"ES1586",-1.022803099,0.523594509,20
"IA1308",-1.820901625,0.609785234,20
"YS1669",-0.430335455,0.557907549,20
"NG2907",0.982498534,0.523942573,20
"UN1577",-0.087643059,0.51665337,20
"HI2999",-0.701113245,0.491165533,20
"ER2636",1.394089184,0.503981885,20
"ER2636",-0.125660633,0.480380048,20
"RO2840",-0.12720581,0.529615548,20
"AM2391",-0.717846733,0.481217748,20
"IE2304",0.024559595,0.482492434,20
"ER3038",1.5868756,0.501051891,20
"NG1897",1.78527585,0.509666362,20
"TH0246",-0.768101124,0.574022845,20
"IE1589",-0.176184482,0.523247353,20
"NA1268",-0.425877778,0.488918297,20
"EL2887",0.612143429,0.483006777,20
"BE0899",-0.345899315,0.574794542,20
"IM1173",-1.903143081,0.696950659,20
"NA0742",-0.191172984,0.491761192,20
"FA1171",0.610056718,0.486326859,20
"AN2240",0.844478348,0.483037239,20
"DA0321",-2.274824658,0.940904149,20
"KE1191",1.303147401,0.506660038,20
"YN2494",1.17062105,0.489544563,20
"CA2618",-1.00661391,0.51235539,20
"ES0908",1.930933985,0.585001076,20
"AN2632",-1.353574863,0.550495747,20
"IN2705",-0.453968441,0.516022932,20
"IA2245",0.783646239,0.481025196,20
"TA2553",0.116225987,0.491885208,20
"LL0234",-0.935812894,0.490902216,20
"IR1090",-2.185476929,0.81592429,20
"DI1828",-0.567735431,0.560030627,20
"LA2498",0.237814859,0.494428702,20
"NU3009",-0.806910604,0.57102399,20
"ER1830",-1.820901625,0.609785234,20
"IE0313",0.845493612,0.488235054,20
"KA1880",-0.416532318,0.525953891,20
"JA2010",-0.598831448,0.569647862,20
"NA0890",-0.914289723,0.533539819,20
"DA2623",0.474145548,0.496824106,20
"AN0520",-0.082647922,0.489910814,20
"IE1066",0.398131907,0.530830534,20
"NA2786",-0.938407863,0.5112476,20
"AR1915",-1.114456233,0.610056494,20
"TH0335",-0.223074586,0.513185511,20
"AM2918",-0.079556225,0.487892405,20
"EA2411",-0.078916672,0.488424187,20
"SH2796",-0.814891061,0.528756097,20
"HA2167",0.450837491,0.498800283,20
"IE1002",-3.149505678,2.460240101,20
"NE0118",0.511306832,0.483895313,20
"NA0345",-1.371613771,0.604362293,20
"OR2427",-0.515134612,0.51396054,20
"HA0458",-0.860434666,0.487001412,20
