"extId","generalSophistication","WMC3","WMC6","MDT.ability","MDT.ability_sem","BAT.ability","BAT.ability_sem","Age","BioSex","Education","Education_Year","Ethnicity","Musicianship","processing","LAQ_music"
"AN1300",52,1,0.916666667,-1.600054662,0.549075654,-0.368565272,0.608758526,31,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",19,"Other",2,1,1
"AN1382",106,0.9583333335,0.9375,0.917758753,0.48457877,0.710261779,0.587134868,18,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"White",1,0.972222222222222,5
"AN1883",47,1,0.875,-1.243637895,0.550265357,0.116175601,0.589596188,31,"Female","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",14,"Other",2,1,1
"AN1953",99,1,0.9583333335,-0.258479484,0.492134828,0.960429451,0.583896149,19,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",1,1,4
"AN2015",56,1,0.9375,0.538656737,0.481210433,-0.629345799,0.766282078,23,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"Asian / Asian British",2,0.972222222222222,1
"AN2176",80,1,0.75,-0.481639574,0.493112985,0.357425048,0.611872152,31,"Female","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",15,"White",2,1,1
"AN2325",58,1,0.9166666665,0.291627699,0.47896964,-0.010604454,0.589295925,24,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",18,"Asian / Asian British",2,0.958333333333333,1
"AN2632",71,0.9583333335,1,-1.353574863,0.550495747,-0.079385703,0.611936346,23,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",19,"Asian / Asian British",2,1,1
"AN2840",49,1,0.875,-0.127268693,0.485359691,1.085817602,0.590632897,35,"Male","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",21,"White",2,1,1
"AN2885",72,0.375,0.2083333335,-1.600054662,0.549075654,0.895646383,0.580949026,19,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",12,"Asian / Asian British",2,0.986111111111111,1
